"Model","Log_lik","AIC","BIC"
"AR(1)",753.752423460049,-1501.5048469201,-1489.05944203235
"MA(1)",754.137571073771,-1502.27514214754,-1489.82973725979
"ARMA(1,1)",754.774776460242,-1501.54955292048,-1484.95567973681
