"","AXP","CAT","SBUX"
"Mean",-0.015,0.036,0.012
"Std. Dev.",2.453,2.171,2.696
"Skewness",-0.336,-0.202,-0.597
"Excess Kurtosis",6.486,4.695,12.895
"Minimum",-19.352,-15.686,-33.249
"Maximum",16.489,13.735,13.659
