"","GM","VW","EW","SP"
"Mean",0.11,0.905,1.167,0.632
"Std. Dev.",9.59,4.561,5.626,4.402
"Skewness",-1.024,-1.051,-0.836,-0.855
"Excess Kurtosis",4.021,3.938,5.242,3.335
"Minimum",-49.317,-25.536,-31.779,-24.543
"Maximum",24.422,13.243,26.179,12.378
