"Stock","Mean","t_stat","df","p_value","reject_H0"
"AXP",-0.015434208829412,-0.315554119985251,2514,0.752367158391223,FALSE
"CAT",0.0359487630644034,0.83022651055433,2514,0.406489560695749,FALSE
"SBUX",0.0118853746898802,0.221095582043444,2514,0.825035965135833,FALSE
