"Series","Mean","t_stat","df","p_value","reject_H0"
"GM",0.11018200035482,0.232064994678636,407,0.816604171543212,FALSE
"VW",0.904567004411627,4.0063624081666,407,7.33172261828164e-05,TRUE
"EW",1.16699699320681,4.18987900356257,407,3.42511340170795e-05,TRUE
"SP",0.631937244107059,2.89957019628379,407,0.00393916498183515,TRUE
