"Model","LogLik","AIC","BIC"
"GARCH(1,1) Normal",239.518935181071,-1.26623083430683,-1.2240921907125
"GARCH(1,1) Student-t",251.789640563695,-1.326826024536,-1.27415272004308
"GARCH(1,1) Skewed Student-t",253.821215914813,-1.33237212857427,-1.26916416318276
