"Model","LogLik","AIC","BIC"
"ARMA(1,0)-ARCH(2)",930.444610935317,-2.46456620755078,-2.43379786100108
"ARMA(1,0)-ARCH(3)",934.07806097968,-2.47157939009236,-2.43465737423272
