"Step","Variance","Volatility"
1,0.00535,0.073144
2,0.0059775,0.077314
3,0.00649038,0.080563
4,0.00701199,0.083738
5,0.00750491,0.086631
6,0.00798179,0.089341
7,0.00843964,0.091867
8,0.0088803,0.094235
9,0.00930409,0.096458
10,0.00971175,0.098548
