"Model","LogLik","AIC","BIC"
"ARCH(1)",1012.79431652662,-2.6749518318586,-2.65656752292119
"ARCH(2)",1017.36376147781,-2.684407315173,-2.65989490325645
"ARCH(3)",1019.39443552211,-2.68713757754201,-2.65649706264632
